종목코드,종목명,진입일,진입가,청산일,청산가,수량,손익률_퍼센트,손익금액_원,청산사유,진입사유
144600,KODEX 은선물(H),2025-09-02,7155.00,2025-09-10,7110.00,209,-0.63,-12303,보유 5일 경과 청산,거래량 2배 급증 + 5.2% 상승
196170,알테오젠,2025-09-02,355000.00,2025-09-10,370384.62,4,+4.33,58649,보유 5일 경과 청산,거래량 2배 급증 + 3.8% 상승
348340,뉴로메카,2025-09-02,14418.09,2025-09-10,14627.05,104,+1.45,18765,보유 5일 경과 청산,거래량 2배 급증 + 4.0% 상승
058610,에스피지,2025-09-03,28400.00,2025-09-04,27200.00,53,-4.23,-66411,손절,거래량 2배 급증 + 7.5% 상승
090360,로보스타,2025-09-03,29450.00,2025-09-11,29850.00,51,+1.36,17431,보유 5일 경과 청산,거래량 2배 급증 + 5.0% 상승
272210,한화시스템,2025-09-03,55700.00,2025-09-08,52000.00,27,-6.64,-102638,손절,거래량 2배 급증 + 6.5% 상승
000100,유한양행,2025-09-09,121200.00,2025-09-17,119000.00,12,-1.82,-29185,보유 5일 경과 청산,거래량 2배 급증 + 2.3% 상승
051910,LG화학,2025-09-10,290500.00,2025-09-18,293500.00,5,+1.03,12138,보유 5일 경과 청산,거래량 2배 급증 + 6.4% 상승
411060,ACE KRX금현물,2025-09-10,23410.00,2025-09-18,24050.00,63,+2.73,37365,보유 5일 경과 청산,거래량 2배 급증 + 3.0% 상승
000990,DB하이텍,2025-09-11,52500.00,2025-09-22,57800.00,28,+10.10,145244,보유 5일 경과 청산,거래량 2배 급증 + 8.6% 상승
042700,한미반도체,2025-09-11,89000.00,2025-09-22,93100.00,16,+4.61,62695,보유 5일 경과 청산,거래량 2배 급증 + 3.9% 상승
240810,원익IPS,2025-09-11,44450.00,2025-09-22,45500.00,33,+2.36,31722,보유 5일 경과 청산,거래량 2배 급증 + 9.2% 상승
267260,HD현대일렉트릭,2025-09-11,568000.00,2025-09-22,592000.00,2,+4.23,45691,보유 5일 경과 청산,거래량 2배 급증 + 8.5% 상승
128940,한미약품,2025-09-17,322500.00,2025-09-26,373500.00,4,+15.81,201087,보유 5일 경과 청산,거래량 2배 급증 + 6.7% 상승
047810,한국항공우주,2025-09-18,112000.00,2025-09-24,106000.00,13,-5.36,-80687,손절,거래량 2배 급증 + 14.8% 상승
066970,엘앤에프,2025-09-18,76000.00,2025-09-29,72500.00,20,-4.61,-72828,보유 5일 경과 청산,거래량 2배 급증 + 9.3% 상승
000100,유한양행,2025-09-23,123200.00,2025-09-26,117500.00,12,-4.63,-71150,20일 평균선 아래로 내려왔습니다,거래량 2배 급증 + 5.8% 상승
058470,리노공업,2025-09-23,54800.00,2025-09-26,50800.00,28,-7.30,-114774,손절,거래량 2배 급증 + 7.4% 상승
403870,HPSP,2025-09-23,35250.00,2025-10-01,34050.00,44,-3.40,-55721,보유 5일 경과 청산,거래량 2배 급증 + 10.0% 상승
068270,셀트리온,2025-09-24,175428.58,2025-10-01,166666.67,8,-4.99,-72695,손절,거래량 2배 급증 + 8.9% 상승
277810,레인보우로보틱스,2025-09-26,322500.00,2025-10-13,318000.00,4,-1.40,-20480,보유 5일 경과 청산,거래량 2배 급증 + 8.9% 상승
144600,KODEX 은선물(H),2025-09-30,8085.00,2025-10-15,8755.00,184,+8.29,120139,보유 5일 경과 청산,거래량 2배 급증 + 4.2% 상승
042700,한미반도체,2025-10-01,97500.00,2025-10-16,141500.00,15,+45.13,655861,보유 5일 경과 청산,거래량 2배 급증 + 5.5% 상승
348340,뉴로메카,2025-10-01,17253.95,2025-10-15,16179.31,85,-6.23,-94026,손절,거래량 2배 급증 + 7.3% 상승
411060,ACE KRX금현물,2025-10-01,27980.00,2025-10-10,27860.00,52,-0.43,-9065,손절,거래량 2배 급증 + 4.8% 상승
005380,현대차,2025-10-10,219000.00,2025-10-13,214500.00,6,-2.05,-29510,20일 평균선 아래로 내려왔습니다,거래량 2배 급증 + 2.1% 상승
005930,삼성전자,2025-10-10,94000.00,2025-10-20,97900.00,15,+4.15,55636,보유 5일 경과 청산,거래량 2배 급증 + 4.4% 상승
240810,원익IPS,2025-10-10,57800.00,2025-10-15,53700.00,25,-7.09,-105118,손절,거래량 2배 급증 + 15.2% 상승
000990,DB하이텍,2025-10-13,56500.00,2025-10-15,56000.00,26,-0.88,-15839,20일 평균선 아래로 내려왔습니다,거래량 2배 급증 + 5.0% 상승
003670,포스코퓨처엠,2025-10-15,172700.00,2025-10-23,208500.00,8,+20.73,283147,보유 5일 경과 청산,거래량 2배 급증 + 5.7% 상승
006400,삼성SDI,2025-10-15,223000.00,2025-10-23,261500.00,6,+17.26,227940,보유 5일 경과 청산,거래량 2배 급증 + 4.5% 상승
086520,에코프로,2025-10-15,50500.00,2025-10-23,87200.00,30,+72.67,1095899,보유 5일 경과 청산,거래량 2배 급증 + 3.7% 상승
247540,에코프로비엠,2025-10-15,125400.00,2025-10-23,165600.00,12,+32.06,478525,보유 5일 경과 청산,거래량 2배 급증 + 5.0% 상승
373220,LG에너지솔루션,2025-10-15,384000.00,2025-10-23,451000.00,3,+17.45,198362,보유 5일 경과 청산,거래량 2배 급증 + 6.9% 상승
052690,한전기술,2025-10-16,98500.00,2025-10-24,109300.00,15,+10.96,158803,보유 5일 경과 청산,거래량 2배 급증 + 9.1% 상승
051910,LG화학,2025-10-20,337500.00,2025-10-28,399000.00,5,+18.22,303610,보유 5일 경과 청산,거래량 2배 급증 + 8.7% 상승
042660,한화오션,2025-10-23,129300.00,2025-10-31,136900.00,15,+5.88,109996,보유 5일 경과 청산,거래량 2배 급증 + 9.7% 상승
064350,현대로템,2025-10-23,230500.00,2025-10-31,228000.00,8,-1.08,-23557,보유 5일 경과 청산,거래량 2배 급증 + 10.9% 상승
010120,LS ELECTRIC,2025-10-24,73100.00,2025-11-03,89800.00,27,+22.85,446172,보유 5일 경과 청산,거래량 2배 급증 + 14.9% 상승
079550,LIG넥스원,2025-10-24,466500.00,2025-11-03,517000.00,4,+10.83,197967,보유 5일 경과 청산,거래량 2배 급증 + 2.3% 상승
267260,HD현대일렉트릭,2025-10-24,750000.00,2025-11-03,892000.00,2,+18.93,280521,보유 5일 경과 청산,거래량 2배 급증 + 8.7% 상승
373220,LG에너지솔루션,2025-10-27,495000.00,2025-11-04,490000.00,4,-1.01,-23822,보유 5일 경과 청산,거래량 2배 급증 + 9.9% 상승
196170,알테오젠,2025-10-28,372307.69,2025-11-05,423846.16,5,+13.84,253560,보유 5일 경과 청산,거래량 2배 급증 + 8.4% 상승
