trade_date,equity,cash,positions
2025-09-01,10000000.0,10000000.0,0
2025-09-02,10065519.440377735,5584461.120065235,3
2025-09-03,9923406.415690234,1072734.4625652342,6
2025-09-04,9920128.241002735,2511523.342565234,5
2025-09-05,9878278.498815235,2511523.342565234,5
2025-09-08,9879433.948815234,3912785.542565234,4
2025-09-09,9846244.320065234,2458167.382565234,5
2025-09-10,9862992.017841795,4010387.0178417955,4
2025-09-11,9846363.907841794,32093.907841795124,7
2025-09-12,9944533.907841794,32093.907841795124,7
2025-09-15,9991788.907841794,32093.907841795124,7
2025-09-16,10150358.907841794,32093.907841795124,7
2025-09-17,10086355.807841795,167115.8078417948,7
2025-09-18,10245453.240341794,167503.24034179468,7
2025-09-19,10245453.240341794,167503.24034179468,7
2025-09-22,10356205.915341794,5949705.9153417945,3
2025-09-23,10290821.345341794,1385221.3453417937,6
2025-09-24,10268904.606048044,1356895.1060480436,6
2025-09-25,10113723.731048044,1356895.1060480436,6
2025-09-26,9940855.626048043,4384665.126048043,4
2025-09-29,9944999.501048043,5831837.626048043,3
2025-09-30,9882957.355048044,4343974.480048044,4
2025-10-01,9803403.523739254,2785283.074520504,5
2025-10-02,9806504.54912988,2785283.074520504,5
2025-10-10,10297125.152161129,61552.72052050405,7
2025-10-13,10420535.777551753,1146342.320520504,6
2025-10-14,10151828.707239253,1146342.320520504,6
2025-10-15,10484789.751589838,27289.75158983865,7
2025-10-16,11243429.251589838,667929.2515898382,7
2025-10-17,12115929.251589838,667929.2515898382,7
2025-10-20,12305412.551589837,445812.551589838,7
2025-10-21,12433412.551589837,445812.551589838,7
2025-10-22,13164212.551589837,445812.551589838,7
2025-10-23,13304518.286589837,5837018.286589837,4
2025-10-24,13531720.306589836,2132820.306589836,6
2025-10-27,13813023.306589836,152523.30658983556,7
2025-10-28,13799384.60707421,281815.3883242102,7
2025-10-29,13970546.16957421,281815.3883242102,7
2025-10-30,14205500.07582421,281815.3883242102,7
2025-10-31,14141298.51207421,138852.41832420975,7
2025-11-03,14492592.295824207,7653.858324208297,7
2025-11-04,14809987.995824208,81549.55832420802,7
2025-11-05,14163648.58955077,201348.58955077012,7
2025-11-06,14046524.63955077,4154624.63955077,5
2025-11-07,13671311.21680077,1657481.2168007693,6
2025-11-10,13956939.891800769,5363739.891800769,4
2025-11-11,14425813.266800769,3456883.2668007687,5
2025-11-12,14661098.116800768,1355568.1168007683,6
2025-11-13,14616558.116800768,1355568.1168007683,6
2025-11-14,14278258.116800768,1355568.1168007683,6
2025-11-17,14499199.484300768,1478299.484300768,6
2025-11-18,14029599.484300768,1478299.484300768,6
