거르기안,보유일수,남는신호수,평균수익률_퍼센트,승률_퍼센트,가장나빴던해_퍼센트,플러스인해,전체해,기준선과의차이_퍼센트포인트,t값
전부 산다(기준선),3,3804,0.694,45.5,-0.07,6,7,0.0,0
상위 1개 섹터 제외,3,2840,0.808,45.6,0.3,7,7,0.114,0.55
상위 2개 섹터 제외,3,2037,1.146,46.8,0.72,7,7,0.452,1.95
상위 3개 섹터 제외,3,1444,1.168,47.5,0.63,7,7,0.474,1.82
강도 5%p 이상 제외,3,1863,0.903,46.1,0.39,7,7,0.209,0.87
강도 10%p 이상 제외,3,2624,0.747,45.2,0.42,7,7,0.053,0.25
강도 15%p 이상 제외,3,3087,0.828,46.1,0.21,7,7,0.134,0.66
강도 20%p 이상 제외,3,3429,0.772,46.0,0.07,7,7,0.078,0.4
상위 3개 섹터만 산다,3,2360,0.404,44.2,-0.67,4,7,-0.29,-1.33
전부 산다(기준선),5,3804,1.152,42.9,-0.3,6,7,0.0,0
상위 1개 섹터 제외,5,2840,1.191,43.3,0.19,7,7,0.039,0.15
상위 2개 섹터 제외,5,2037,1.509,44.2,0.5,7,7,0.357,1.19
상위 3개 섹터 제외,5,1444,1.47,44.5,0.29,7,7,0.318,0.93
강도 5%p 이상 제외,5,1863,1.135,43.4,0.52,7,7,-0.017,-0.05
강도 10%p 이상 제외,5,2624,1.195,43.8,0.44,7,7,0.043,0.16
강도 15%p 이상 제외,5,3087,1.319,43.8,0.03,7,7,0.167,0.63
강도 20%p 이상 제외,5,3429,1.244,43.3,-0.13,6,7,0.092,0.36
상위 3개 섹터만 산다,5,2360,0.957,41.9,-0.86,5,7,-0.195,-0.68
전부 산다(기준선),7,3804,1.307,40.3,-0.79,6,7,0.0,0
상위 1개 섹터 제외,7,2840,1.289,40.6,-0.33,6,7,-0.017,-0.06
상위 2개 섹터 제외,7,2037,1.678,41.5,-0.05,6,7,0.371,1.09
상위 3개 섹터 제외,7,1444,1.555,42.3,0.2,7,7,0.249,0.65
강도 5%p 이상 제외,7,1863,1.359,41.4,0.41,7,7,0.052,0.15
강도 10%p 이상 제외,7,2624,1.437,41.8,0.04,7,7,0.131,0.42
강도 15%p 이상 제외,7,3087,1.518,41.4,-0.44,6,7,0.211,0.7
강도 20%p 이상 제외,7,3429,1.42,40.7,-0.61,6,7,0.113,0.39
상위 3개 섹터만 산다,7,2360,1.155,39.0,-1.26,4,7,-0.152,-0.46
전부 산다(기준선),10,3804,1.505,38.1,-0.95,6,7,0.0,0
상위 1개 섹터 제외,10,2840,1.584,38.7,-0.46,6,7,0.079,0.23
상위 2개 섹터 제외,10,2037,1.928,40.2,0.1,7,7,0.422,1.12
상위 3개 섹터 제외,10,1444,1.699,40.9,0.29,7,7,0.194,0.47
강도 5%p 이상 제외,10,1863,1.914,40.2,0.17,7,7,0.409,1.01
강도 10%p 이상 제외,10,2624,1.799,39.8,-0.2,6,7,0.294,0.84
강도 15%p 이상 제외,10,3087,1.814,39.5,-0.67,6,7,0.309,0.92
강도 20%p 이상 제외,10,3429,1.7,38.8,-0.82,6,7,0.194,0.6
상위 3개 섹터만 산다,10,2360,1.387,36.4,-1.54,4,7,-0.119,-0.32
