보유일수,신호수,평균수익률_퍼센트,하루당수익률_퍼센트,승률_퍼센트,기간만료로끝난비율_퍼센트,손절로끝난비율_퍼센트,20일선이탈로끝난비율_퍼센트
1,3804,0.15,0.156,44.1,92.2,7.8,0.0
2,3804,0.41,0.227,46.4,80.4,17.4,2.2
3,3804,0.694,0.268,45.5,72.3,24.4,3.3
4,3804,0.902,0.272,43.1,65.9,29.8,4.3
5,3804,1.152,0.286,42.9,61.2,33.8,5.0
6,3804,1.256,0.266,41.5,57.2,37.0,5.8
7,3804,1.307,0.243,40.3,53.7,39.9,6.4
8,3804,1.555,0.258,40.7,50.9,42.0,7.1
9,3804,1.465,0.219,38.9,48.7,43.4,7.9
10,3804,1.505,0.206,38.1,46.2,44.8,9.0
11,3804,1.544,0.195,37.5,44.1,45.7,10.2
12,3804,1.635,0.193,36.4,41.5,46.8,11.8
13,3804,1.716,0.19,35.6,38.9,47.4,13.6
14,3804,1.848,0.193,34.9,36.6,47.9,15.5
15,3804,1.853,0.185,34.2,33.8,48.1,18.1
16,3804,1.971,0.188,33.4,31.0,48.3,20.6
17,3804,2.006,0.184,32.8,28.1,48.5,23.4
18,3804,2.078,0.184,32.5,25.7,48.5,25.8
19,3804,2.078,0.178,32.1,22.8,48.5,28.7
20,3804,2.065,0.172,31.8,20.4,48.5,31.1
