섹터강도구간,신호수,보유일수,평균수익률_퍼센트,하루당수익률_퍼센트,승률_퍼센트
시장보다 약함,940,1,0.402,0.417,45.6
시장보다 약함,940,2,0.709,0.395,47.6
시장보다 약함,940,3,1.113,0.432,46.8
시장보다 약함,940,4,1.395,0.422,44.6
시장보다 약함,940,5,1.499,0.373,43.7
시장보다 약함,940,6,1.481,0.313,42.3
시장보다 약함,940,7,1.417,0.261,41.6
시장보다 약함,940,8,1.854,0.304,42.4
시장보다 약함,940,9,1.815,0.269,40.3
시장보다 약함,940,10,1.996,0.271,40.5
시장보다 약함,940,11,1.913,0.239,39.5
시장보다 약함,940,12,1.922,0.225,38.5
시장보다 약함,940,13,2.035,0.223,37.1
시장보다 약함,940,14,2.291,0.237,36.5
시장보다 약함,940,15,2.319,0.23,35.3
시장보다 약함,940,16,2.383,0.226,34.8
시장보다 약함,940,17,2.343,0.216,34.5
시장보다 약함,940,18,2.428,0.214,34.4
시장보다 약함,940,19,2.574,0.22,33.7
시장보다 약함,940,20,2.592,0.214,33.5
조금 강함 0~+5,923,1,0.053,0.054,43.7
조금 강함 0~+5,923,2,0.274,0.15,44.5
조금 강함 0~+5,923,3,0.689,0.262,45.4
조금 강함 0~+5,923,4,0.679,0.2,43.0
조금 강함 0~+5,923,5,0.764,0.186,43.0
조금 강함 0~+5,923,6,1.012,0.211,41.7
조금 강함 0~+5,923,7,1.301,0.237,41.2
조금 강함 0~+5,923,8,1.559,0.254,41.6
조금 강함 0~+5,923,9,1.774,0.26,40.7
조금 강함 0~+5,923,10,1.83,0.246,39.9
조금 강함 0~+5,923,11,1.845,0.229,38.7
조금 강함 0~+5,923,12,1.996,0.231,37.5
조금 강함 0~+5,923,13,2.056,0.224,37.4
조금 강함 0~+5,923,14,2.156,0.222,36.5
조금 강함 0~+5,923,15,2.3,0.226,35.9
조금 강함 0~+5,923,16,2.44,0.229,34.9
조금 강함 0~+5,923,17,2.471,0.221,34.1
조금 강함 0~+5,923,18,2.574,0.223,33.8
조금 강함 0~+5,923,19,2.593,0.217,33.5
조금 강함 0~+5,923,20,2.652,0.215,33.0
강함 +5~+10,761,1,0.276,0.285,45.3
강함 +5~+10,761,2,0.302,0.165,46.5
강함 +5~+10,761,3,0.366,0.14,43.1
강함 +5~+10,761,4,0.915,0.274,43.6
강함 +5~+10,761,5,1.341,0.329,44.7
강함 +5~+10,761,6,1.669,0.349,44.5
강함 +5~+10,761,7,1.629,0.297,42.7
강함 +5~+10,761,8,1.993,0.327,43.0
강함 +5~+10,761,9,1.759,0.26,39.2
강함 +5~+10,761,10,1.517,0.206,38.8
강함 +5~+10,761,11,1.454,0.183,38.0
강함 +5~+10,761,12,1.771,0.207,37.2
강함 +5~+10,761,13,1.769,0.195,36.3
강함 +5~+10,761,14,1.777,0.185,35.0
강함 +5~+10,761,15,1.714,0.17,34.7
강함 +5~+10,761,16,1.876,0.178,33.6
강함 +5~+10,761,17,2.014,0.184,33.1
강함 +5~+10,761,18,2.065,0.183,32.2
강함 +5~+10,761,19,1.955,0.168,32.2
강함 +5~+10,761,20,1.788,0.149,31.9
아주 강함 +10 이상,1180,1,-0.056,-0.059,42.3
아주 강함 +10 이상,1180,2,0.347,0.195,46.9
아주 강함 +10 이상,1180,3,0.575,0.227,46.0
아주 강함 +10 이상,1180,4,0.677,0.208,41.5
아주 강함 +10 이상,1180,5,1.057,0.268,41.0
아주 강함 +10 이상,1180,6,1.003,0.218,38.8
아주 강함 +10 이상,1180,7,1.016,0.195,36.9
아주 강함 +10 이상,1180,8,1.033,0.176,37.0
아주 강함 +10 이상,1180,9,0.755,0.116,36.1
아주 강함 +10 이상,1180,10,0.853,0.12,34.3
아주 강함 +10 이상,1180,11,1.072,0.139,34.8
아주 강함 +10 이상,1180,12,1.036,0.125,33.3
아주 강함 +10 이상,1180,13,1.162,0.132,32.7
아주 강함 +10 이상,1180,14,1.3,0.139,32.3
아주 강함 +10 이상,1180,15,1.222,0.124,31.8
아주 강함 +10 이상,1180,16,1.336,0.13,31.1
아주 강함 +10 이상,1180,17,1.368,0.128,30.3
아주 강함 +10 이상,1180,18,1.421,0.127,30.1
아주 강함 +10 이상,1180,19,1.358,0.118,29.6
아주 강함 +10 이상,1180,20,1.365,0.116,29.3
