섹터순위,신호수,보유일수,평균수익률_퍼센트,승률_퍼센트,표준오차
1,964,3,0.357,45.1,0.279
1,964,5,1.036,41.8,0.379
1,964,7,1.358,39.4,0.448
1,964,10,1.273,36.4,0.465
2,803,3,-0.048,42.6,0.269
2,803,5,0.387,40.8,0.352
2,803,7,0.303,38.1,0.377
2,803,10,0.713,34.9,0.461
3,593,3,1.093,45.0,0.353
3,593,5,1.602,43.5,0.436
3,593,7,1.977,39.6,0.515
3,593,10,2.484,38.4,0.617
4,489,3,1.289,48.1,0.387
4,489,5,1.241,44.2,0.452
4,489,7,1.497,42.7,0.473
4,489,10,1.431,40.1,0.511
5,402,3,1.572,49.0,0.474
5,402,5,2.054,46.5,0.647
5,402,7,2.221,42.3,0.724
5,402,10,2.164,40.5,0.686
6,324,3,1.03,46.3,0.447
6,324,5,1.504,42.9,0.645
6,324,7,1.633,42.3,0.768
6,324,10,1.726,41.0,0.845
7,229,3,0.393,45.4,0.443
7,229,5,0.886,44.1,0.572
7,229,7,0.4,41.5,0.602
7,229,10,1.417,42.8,0.792
