종목,종목명,섹터,섹터강도,섹터순위,그날섹터수
005930,삼성전자,반도체,1.86,6.0,7.0
005930,삼성전자,반도체,13.25,2.0,7.0
005930,삼성전자,반도체,2.52,5.0,7.0
005930,삼성전자,반도체,3.78,4.0,7.0
005930,삼성전자,반도체,22.56,1.0,7.0
005930,삼성전자,반도체,23.45,2.0,7.0
005930,삼성전자,반도체,7.86,1.0,7.0
005930,삼성전자,반도체,3.57,2.0,7.0
005930,삼성전자,반도체,8.13,4.0,7.0
005930,삼성전자,반도체,8.81,4.0,7.0
005930,삼성전자,반도체,0.88,2.0,7.0
005930,삼성전자,반도체,-0.61,3.0,7.0
005930,삼성전자,반도체,-0.69,4.0,7.0
005930,삼성전자,반도체,17.93,1.0,7.0
005930,삼성전자,반도체,1.73,4.0,7.0
005930,삼성전자,반도체,7.8,1.0,7.0
005930,삼성전자,반도체,13.4,2.0,7.0
000660,SK하이닉스,반도체,5.16,4.0,7.0
000660,SK하이닉스,반도체,1.86,6.0,7.0
000660,SK하이닉스,반도체,13.91,2.0,7.0
000660,SK하이닉스,반도체,1.77,2.0,7.0
000660,SK하이닉스,반도체,22.56,1.0,7.0
000660,SK하이닉스,반도체,1.34,5.0,7.0
000660,SK하이닉스,반도체,-0.52,3.0,7.0
000660,SK하이닉스,반도체,1.89,5.0,7.0
000660,SK하이닉스,반도체,23.45,2.0,7.0
000660,SK하이닉스,반도체,7.06,1.0,7.0
000660,SK하이닉스,반도체,7.17,1.0,7.0
000660,SK하이닉스,반도체,16.3,2.0,7.0
000660,SK하이닉스,반도체,21.55,1.0,7.0
000660,SK하이닉스,반도체,2.68,4.0,7.0
000660,SK하이닉스,반도체,8.81,4.0,7.0
000660,SK하이닉스,반도체,17.86,2.0,7.0
042700,한미반도체,반도체,10.24,3.0,7.0
042700,한미반도체,반도체,11.92,3.0,7.0
042700,한미반도체,반도체,4.97,3.0,7.0
042700,한미반도체,반도체,10.35,1.0,7.0
042700,한미반도체,반도체,11.16,2.0,7.0
042700,한미반도체,반도체,10.3,2.0,7.0
042700,한미반도체,반도체,11.67,2.0,7.0
042700,한미반도체,반도체,-3.13,5.0,7.0
042700,한미반도체,반도체,-0.98,3.0,7.0
042700,한미반도체,반도체,-2.08,4.0,7.0
042700,한미반도체,반도체,1.77,2.0,7.0
042700,한미반도체,반도체,5.93,1.0,7.0
042700,한미반도체,반도체,4.3,3.0,7.0
042700,한미반도체,반도체,5.04,2.0,7.0
042700,한미반도체,반도체,10.96,2.0,7.0
042700,한미반도체,반도체,12.07,1.0,7.0
042700,한미반도체,반도체,1.38,4.0,7.0
042700,한미반도체,반도체,7.17,1.0,7.0
042700,한미반도체,반도체,12.79,1.0,7.0
042700,한미반도체,반도체,13.74,1.0,7.0
042700,한미반도체,반도체,0.0,5.0,7.0
042700,한미반도체,반도체,0.79,4.0,7.0
042700,한미반도체,반도체,3.75,3.0,7.0
042700,한미반도체,반도체,4.07,3.0,7.0
042700,한미반도체,반도체,4.43,3.0,7.0
042700,한미반도체,반도체,-5.63,7.0,7.0
042700,한미반도체,반도체,8.77,2.0,7.0
042700,한미반도체,반도체,22.56,1.0,7.0
042700,한미반도체,반도체,18.86,1.0,7.0
042700,한미반도체,반도체,7.74,3.0,7.0
042700,한미반도체,반도체,2.62,5.0,7.0
042700,한미반도체,반도체,3.35,4.0,7.0
042700,한미반도체,반도체,-4.61,5.0,7.0
042700,한미반도체,반도체,3.3,2.0,7.0
