종목,종목명,섹터,신호일,진입일,진입가,섹터강도,r1,r2,r3,r5,r7,r10,r15,r20,why1,why2,why3,why5,why7,why10,why15,why20
005930,삼성전자,반도체,2020-06-03,2020-06-04,55800.0,1.86,-2.509,1.0753,0.0,-2.3297,-7.8853,-7.8853,-7.8853,-7.8853,기간만료,기간만료,기간만료,기간만료,손절,손절,손절,손절
005930,삼성전자,반도체,2020-07-28,2020-07-29,60300.0,13.25,-0.995,-1.3267,-4.1459,-5.141,-5.141,-5.141,-5.141,-5.141,기간만료,기간만료,기간만료,손절,손절,손절,손절,손절
005930,삼성전자,반도체,2021-01-08,2021-01-11,90000.0,2.52,0.3333,-0.2222,-1.4444,-3.7778,-6.1111,-6.1111,-6.1111,-6.1111,기간만료,기간만료,기간만료,기간만료,손절,손절,손절,손절
005930,삼성전자,반도체,2021-01-11,2021-01-12,90300.0,3.78,-0.5537,-1.7719,-0.5537,-6.423,-6.423,-6.423,-6.423,-6.423,기간만료,기간만료,기간만료,손절,손절,손절,손절,손절
005930,삼성전자,반도체,2021-11-22,2021-11-23,76000.0,22.56,0.0,-1.1842,-3.2895,-3.6842,-5.2632,-5.2632,-5.2632,-5.2632,기간만료,기간만료,기간만료,기간만료,손절,손절,손절,손절
005930,삼성전자,반도체,2023-04-07,2023-04-10,64800.0,23.45,2.1605,1.5432,1.2346,0.3086,1.0802,0.7716,-1.8519,-1.8519,기간만료,기간만료,기간만료,기간만료,기간만료,기간만료,20일선이탈,20일선이탈
005930,삼성전자,반도체,2023-05-30,2023-05-31,72400.0,7.86,-2.0718,-0.9669,0.4144,-2.7624,-0.4144,-0.4144,-3.0387,-3.0387,기간만료,기간만료,기간만료,기간만료,기간만료,기간만료,기간만료,20일선이탈
005930,삼성전자,반도체,2023-09-01,2023-09-04,72900.0,3.57,-2.7435,-3.0178,-3.9781,-3.4294,-2.4691,-2.1948,-6.31,-6.31,기간만료,기간만료,기간만료,기간만료,기간만료,기간만료,손절,손절
005930,삼성전자,반도체,2024-03-20,2024-03-21,79200.0,8.13,0.5051,0.5051,0.6313,0.2525,5.0505,7.5758,6.9444,1.8939,기간만료,기간만료,기간만료,기간만료,기간만료,기간만료,기간만료,20일선이탈
005930,삼성전자,반도체,2024-03-21,2024-03-22,79600.0,8.81,0.0,0.1256,-0.5025,2.0101,4.1457,6.1558,4.1457,1.3819,기간만료,기간만료,기간만료,기간만료,기간만료,기간만료,기간만료,20일선이탈
005930,삼성전자,반도체,2024-07-04,2024-07-05,85600.0,0.88,2.6869,2.5701,2.3364,0.3505,1.5187,0.0,-1.4019,-1.4019,기간만료,기간만료,기간만료,기간만료,기간만료,기간만료,20일선이탈,20일선이탈
005930,삼성전자,반도체,2024-07-05,2024-07-08,87900.0,-0.61,-0.1138,-0.3413,0.6826,-3.6405,-0.9101,-3.9818,-3.9818,-3.9818,기간만료,기간만료,기간만료,기간만료,기간만료,기간만료,20일선이탈,20일선이탈
005930,삼성전자,반도체,2025-09-12,2025-09-15,77200.0,-0.69,-0.3886,2.4611,2.4611,11.1399,9.3264,9.5855,23.4456,27.5907,기간만료,기간만료,기간만료,기간만료,기간만료,기간만료,기간만료,기간만료
005930,삼성전자,반도체,2025-10-02,2025-10-10,94000.0,17.93,-2.8723,1.383,-1.8085,3.4043,4.7872,4.1489,11.7021,2.5532,기간만료,기간만료,기간만료,기간만료,기간만료,기간만료,기간만료,기간만료
005930,삼성전자,반도체,2025-10-31,2025-11-03,106900.0,1.73,4.5837,-5.5192,-2.9935,-2.9935,-2.9935,-2.9935,-2.9935,-2.9935,기간만료,기간만료,손절,손절,손절,손절,손절,손절
005930,삼성전자,반도체,2026-01-05,2026-01-06,135300.0,7.8,6.0606,2.2173,0.5174,3.3259,2.7347,9.7561,11.2343,16.7036,기간만료,기간만료,기간만료,기간만료,기간만료,기간만료,기간만료,기간만료
005930,삼성전자,반도체,2026-05-06,2026-05-07,272000.0,13.4,-4.4118,4.5956,6.6176,3.6765,-0.9191,6.9853,13.7868,7.7206,기간만료,기간만료,기간만료,기간만료,기간만료,기간만료,기간만료,기간만료
000660,SK하이닉스,반도체,2020-05-28,2020-05-29,82600.0,5.16,-0.6053,-0.6053,-0.6053,-0.6053,-0.6053,-0.6053,-0.6053,-0.6053,기간만료,20일선이탈,20일선이탈,20일선이탈,20일선이탈,20일선이탈,20일선이탈,20일선이탈
000660,SK하이닉스,반도체,2020-06-03,2020-06-04,90000.0,1.86,-1.6667,3.3333,1.1111,-0.7778,-6.5556,-6.5556,-6.5556,-6.5556,기간만료,기간만료,기간만료,기간만료,손절,손절,손절,손절
000660,SK하이닉스,반도체,2020-07-30,2020-07-31,85700.0,13.91,-3.8506,-3.8506,-3.8506,-3.8506,-3.8506,-3.8506,-3.8506,-3.8506,기간만료,20일선이탈,20일선이탈,20일선이탈,20일선이탈,20일선이탈,20일선이탈,20일선이탈
000660,SK하이닉스,반도체,2020-11-16,2020-11-17,97400.0,1.77,2.4641,-1.232,1.6427,3.6961,-0.616,1.232,21.1499,21.6632,기간만료,기간만료,기간만료,기간만료,기간만료,기간만료,기간만료,기간만료
000660,SK하이닉스,반도체,2021-11-22,2021-11-23,119500.0,22.56,0.8368,0.8368,-2.5105,-1.2552,-3.3473,-0.4184,0.8368,3.7657,기간만료,기간만료,기간만료,기간만료,기간만료,기간만료,기간만료,기간만료
000660,SK하이닉스,반도체,2022-03-18,2022-03-21,124000.0,1.34,-2.4194,0.0,-2.4194,-1.6129,-1.6129,-1.6129,-1.6129,-1.6129,기간만료,기간만료,기간만료,20일선이탈,20일선이탈,20일선이탈,20일선이탈,20일선이탈
000660,SK하이닉스,반도체,2022-10-05,2022-10-06,90900.0,-0.52,-1.4301,-1.3201,0.11,5.6106,5.5006,-1.2101,-4.1804,-4.1804,기간만료,기간만료,기간만료,기간만료,기간만료,기간만료,기간만료,20일선이탈
000660,SK하이닉스,반도체,2023-01-04,2023-01-05,83300.0,1.89,-2.2809,1.9208,2.6411,5.7623,3.2413,0.8403,9.6038,9.7239,기간만료,기간만료,기간만료,기간만료,기간만료,기간만료,기간만료,기간만료
000660,SK하이닉스,반도체,2023-04-07,2023-04-10,88700.0,23.45,2.2548,3.6077,0.9019,0.3382,-0.7892,-0.7892,-0.7892,-0.7892,기간만료,기간만료,기간만료,기간만료,기간만료,20일선이탈,20일선이탈,20일선이탈
000660,SK하이닉스,반도체,2023-05-25,2023-05-26,107500.0,7.06,5.3023,2.3256,-1.3953,2.4186,-0.4651,8.8372,6.0465,6.0465,기간만료,기간만료,기간만료,기간만료,기간만료,기간만료,기간만료,기간만료
000660,SK하이닉스,반도체,2023-05-26,2023-05-30,113200.0,7.17,-2.8269,-6.3604,-1.9435,-3.9753,-2.5618,4.947,2.6502,0.8834,기간만료,기간만료,기간만료,기간만료,기간만료,기간만료,기간만료,기간만료
000660,SK하이닉스,반도체,2023-07-27,2023-07-28,126200.0,16.3,1.4263,-1.7433,-2.2979,-5.7052,-5.7052,-5.7052,-5.7052,-5.7052,기간만료,기간만료,기간만료,손절,손절,손절,손절,손절
000660,SK하이닉스,반도체,2023-07-28,2023-07-31,128000.0,21.55,-3.125,-3.6719,-7.0312,-7.0312,-7.0312,-7.0312,-7.0312,-7.0312,기간만료,기간만료,손절,손절,손절,손절,손절,손절
000660,SK하이닉스,반도체,2023-12-14,2023-12-15,137000.0,2.68,1.4599,2.1898,2.1168,4.1606,2.7737,2.1898,1.4599,1.4599,기간만료,기간만료,기간만료,기간만료,기간만료,기간만료,20일선이탈,20일선이탈
000660,SK하이닉스,반도체,2024-03-21,2024-03-22,169000.0,8.81,0.8876,1.7751,4.5562,6.0355,11.2426,9.3491,9.7041,4.142,기간만료,기간만료,기간만료,기간만료,기간만료,기간만료,기간만료,20일선이탈
000660,SK하이닉스,반도체,2025-01-06,2025-01-07,205000.0,17.86,-5.8049,-1.9512,-1.9512,-1.9512,-1.9512,-1.9512,-1.9512,-1.9512,기간만료,손절,손절,손절,손절,손절,손절,손절
042700,한미반도체,반도체,2020-05-20,2020-05-21,4835.0,10.24,-0.7239,-3.2058,4.9638,-2.1717,-7.3423,-7.3423,-7.3423,-7.3423,기간만료,기간만료,기간만료,기간만료,손절,손절,손절,손절
042700,한미반도체,반도체,2020-05-25,2020-05-26,5075.0,11.92,-3.6453,-6.798,-6.798,-6.798,-6.798,-6.798,-6.798,-6.798,기간만료,손절,손절,손절,손절,손절,손절,손절
042700,한미반도체,반도체,2020-07-08,2020-07-09,4250.0,4.97,0.0,3.2941,4.3529,8.9412,15.8824,42.3529,47.0588,41.1765,기간만료,기간만료,기간만료,기간만료,기간만료,기간만료,기간만료,기간만료
042700,한미반도체,반도체,2020-07-17,2020-07-20,4925.0,10.35,-1.8274,12.1827,22.8426,21.8274,25.3807,21.8274,18.7817,15.2284,기간만료,기간만료,기간만료,기간만료,기간만료,기간만료,기간만료,20일선이탈
042700,한미반도체,반도체,2020-07-21,2020-07-22,5525.0,11.16,9.5023,4.0724,8.5973,11.7647,11.3122,10.4072,12.6697,2.7149,기간만료,기간만료,기간만료,기간만료,기간만료,기간만료,기간만료,20일선이탈
