주,신호수,평균섹터강도,N1_평균수익률,N2_평균수익률,N3_평균수익률,N5_평균수익률,N7_평균수익률,N10_평균수익률,N15_평균수익률,N20_평균수익률,최고였던_보유일수
2020-06주,9,9.494,0.892,4.349,4.123,6.419,8.798,6.961,2.968,0.604,7
2020-07주,7,10.276,-0.497,1.245,-0.608,-1.977,-2.876,-3.616,-5.173,-5.173,2
2020-08주,4,4.882,-2.284,-3.828,-6.289,-7.18,-7.18,-7.18,-7.18,-7.18,1
2020-10주,3,11.387,2.916,-3.763,-2.576,-8.943,-8.943,-8.943,-8.943,-8.943,1
2020-13주,3,10.313,1.746,2.258,0.901,9.79,6.703,12.546,13.93,11.863,15
2020-14주,4,-3.27,-5.044,-1.567,-1.513,-0.033,0.216,1.157,16.264,17.955,20
2020-15주,7,4.74,2.008,2.392,2.153,3.767,3.818,3.826,8.078,18.291,20
2020-17주,16,26.656,-0.282,1.625,0.637,0.897,-1.112,-1.74,-2.421,0.846,2
2020-19주,10,6.385,0.612,4.592,5.278,8.041,10.605,13.703,19.234,22.979,20
2020-20주,10,10.463,0.268,1.143,4.573,6.807,6.92,11.544,15.665,20.693,20
2020-21주,16,7.945,-1.135,0.047,0.846,2.765,1.916,5.035,5.452,0.441,15
2020-22주,21,6.938,-1.23,-0.486,-0.1,4.871,4.285,3.59,0.83,1.668,5
2020-23주,27,9.73,-0.01,1.385,1.645,4.503,7.322,7.216,10.18,8.304,15
2020-24주,18,12.348,2.203,-0.179,-0.132,0.066,0.074,2.702,1.945,2.013,10
2020-25주,16,16.579,1.429,3.176,4.38,1.518,-0.472,-0.162,2.979,1.042,3
2020-26주,14,13.1,1.898,0.278,0.242,0.88,2.287,4.288,2.981,3.129,10
2020-27주,5,4.376,1.628,4.284,6.886,9.745,15.498,14.359,8.662,5.133,7
2020-28주,9,3.381,-0.683,0.051,0.019,-0.394,-0.348,1.219,3.801,3.259,15
2020-29주,13,2.412,-1.057,1.081,1.945,4.572,4.208,5.866,10.838,12.02,20
2020-30주,31,9.464,0.739,1.987,1.605,4.614,4.616,2.991,5.609,3.457,15
2020-31주,28,8.696,0.201,-0.506,-0.972,-0.259,0.391,0.183,-1.499,-1.862,7
2020-32주,25,7.413,1.324,2.887,2.912,1.993,0.857,-2.696,-2.873,-2.997,3
2020-33주,24,9.283,-0.361,-1.257,-1.914,-4.929,-5.008,-4.659,-4.633,-4.949,1
2020-34주,4,3.888,-0.021,-3.776,-5.531,-4.909,-4.763,-5.275,-5.933,-5.933,1
2020-35주,5,7.196,4.499,5.298,5.627,1.92,1.674,0.696,3.234,0.926,3
2020-36주,26,9.08,4.988,6.345,5.909,8.089,5.465,3.692,-0.943,-1.611,5
