구간,보유일수,수익률_퍼센트,최대낙폭_퍼센트,승률_퍼센트,거래수,손익비
12개월,1,-13.13,-51.87,44.7,443,0.96
12개월,2,11.58,-46.34,40.6,362,1.03
12개월,3,1.05,-53.04,38.1,320,0.99
12개월,5,-20.05,-56.58,35.5,262,0.9
12개월,7,-1.17,-56.89,31.6,231,0.97
12개월,10,-7.62,-53.38,28.9,201,0.93
12개월,15,-7.79,-52.71,22.5,169,0.93
12개월,20,5.52,-52.81,22.5,151,0.95
5년,1,-21.91,-52.74,44.7,2081,0.98
5년,2,96.84,-48.52,46.0,1752,1.08
5년,3,45.65,-55.73,41.9,1546,1.04
5년,5,26.38,-57.36,41.1,1249,1.03
5년,7,139.73,-57.6,40.0,1057,1.09
5년,10,56.31,-53.43,35.1,900,1.06
5년,15,16.36,-55.63,30.2,762,1.01
5년,20,68.83,-53.1,28.9,682,1.07
